b,d,n,r,u,c,a,q,domain,f,P,t,p
L,alternet.org,Alternet,M,https://mediabiasfactcheck.com/alternet/,M,M,[],alternet.org,AlterNetNews,90.0,,
CP,althealthworks.com,AltHealth Works,L,https://mediabiasfactcheck.com/althealth-works/,L,L,[],althealthworks.com,AlternativeHealthWorks,49.0,AltHealthWORKS,
CP,altleft.news,AltLeft.News,VL,https://mediabiasfactcheck.com/altleft-news-bias/,L,L,[],altleft.news,,,,
L,altnews.in,Alt News,H,https://mediabiasfactcheck.com/alt-news/,H,M,[],altnews.in,,,,
R,altnewsmedia.net,AltNewsMedia.net,M,https://mediabiasfactcheck.com/altnewsmedia-net/,M,L,[],altnewsmedia.net,AltNewsMedia,28.0,AltNewsMedia,
RC,altoday.com,Alabama Today,MF,https://mediabiasfactcheck.com/alabama-today/,H,L,[],altoday.com,,41.0,,
FN,altright.com,AltRight.com,L,https://mediabiasfactcheck.com/altright-com/,L,N,[],altright.com,,,,
FN,altrighttv.com,Alt-Right TV,L,https://mediabiasfactcheck.com/alt-right-tv/,L,L,"['C', 'P', 'PS', 'H']",altrighttv.com,,,,
PS,ama-assn.org,American Medical Association (AMA),H,https://mediabiasfactcheck.com/american-medical-association-ama/,H,H,[],ama-assn.org,,70.0,,
R,amac.us,AMAC (Association of Mature American Citizens),M,https://mediabiasfactcheck.com/amac-association-of-mature-american-citizens/,M,M,[],amac.us,,62.0,,
C,amarillo.com,Amarillo Globe-News,H,https://mediabiasfactcheck.com/amarillo-globe-news/,H,L,[],amarillo.com,amarilloglobenews,68.0,amarilloglobe,
FN,amazingnews.net,Amazingnews.net,L,https://mediabiasfactcheck.com/amazingnews-net/,L,N,[],amazingnews.net,,8.0,,
L,americablog.com,AmericaBlog,H,https://mediabiasfactcheck.com/americablog/,H,L,[],americablog.com,AMERICAblog,78.0,americablog,
FN,americadaily.com,America Daily,M,https://mediabiasfactcheck.com/america-daily/,L,N,"['C', 'LT', 'M', 'PSE']",americadaily.com,,21.0,,
FN,americafans.com,American Fans,L,http://mediabiasfactcheck.com/american-news/,L,N,[],americafans.com,,,,
R,americafirstpolicy.com,The America First Policy Institute,M,https://mediabiasfactcheck.com/the-america-first-policy-institute-afpi-bias/,M,L,[],americafirstpolicy.com,,,,
LC,americamagazine.org,America Magazine,H,https://mediabiasfactcheck.com/america-magazine/,H,M,[],americamagazine.org,americamag,77.0,americamag,
FN,americamaxnews.com,America Max News,L,https://mediabiasfactcheck.com/america-max-news/,L,L,"['P', 'PS', 'LT', 'M', 'PG']",americamaxnews.com,,,,
RC,americanactionforum.org,American Action Forum,MF,https://mediabiasfactcheck.com/american-action-forum/,H,L,[],americanactionforum.org,AmericanActionForum,58.0,aaf,
FN,americanactionnews.com,American Action News,M,https://mediabiasfactcheck.com/american-action-news/,L,M,"['C', 'P', 'PS', 'LT', 'M', 'PSE']",americanactionnews.com,,38.0,,
RC,americanaffairsjournal.org,American Affairs Journal,H,https://mediabiasfactcheck.com/american-affairs-journal/,H,M,[],americanaffairsjournal.org,AmericanAffairsJournal,49.0,,
L,americanbridgepac.org,American Bridge 21st Century,M,https://mediabiasfactcheck.com/american-bridge-21st-century/,M,L,[],americanbridgepac.org,AmericanBridge,55.0,,
R,americanconsequences.com,American Consequences,M,https://mediabiasfactcheck.com/american-consequences/,M,L,[],americanconsequences.com,American,35.0,,
FN,americanconservativemedia.com,American Conservative Media,M,https://mediabiasfactcheck.com/american-conservative-media/,L,N,"['PS', 'LT', 'M']",americanconservativemedia.com,,5.0,,
FN,americanconservativemovement.com,American Conservative Movement (ACM),L,https://mediabiasfactcheck.com/american-conservative-movement-acm/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'PSE']",americanconservativemovement.com,,,,
R,americandailynews.org,American News 24/7,M,https://mediabiasfactcheck.com/american-news-24-7/,M,N,[],americandailynews.org,,19.0,,
CP,americandigitalnews.com,American Digital News,M,https://mediabiasfactcheck.com/american-digital-news/,L,L,[],americandigitalnews.com,groups/1722717411299460,30.0,,
R,americanewshub.com,American News Hub,M,https://mediabiasfactcheck.com/american-news-hub/,M,N,[],americanewshub.com,,,,
R,americanexperiment.org,Center of the American Experiment,M,https://mediabiasfactcheck.com/center-of-the-american-experiment/,M,L,[],americanexperiment.org,,,,
RC,americanfirearms.org,American Firearms Institute,H,https://mediabiasfactcheck.com/american-firearms-institute/,H,M,[],americanfirearms.org,,33.0,,
FN,americanflavor.news,American Flavor News,VL,https://mediabiasfactcheck.com/american-flavor/,L,N,[],americanflavor.news,,10.0,,
CP,americanfreepress.net,American Free Press,L,https://mediabiasfactcheck.com/american-free-press/,L,L,[],americanfreepress.net,,70.0,,
FN,americangulag.org,American Gulag,VL,https://mediabiasfactcheck.com/american-gulag/,L,L,"['C', 'P', 'FFC', 'M', 'FN']",americangulag.org,,,,
C,americanheritage.com,American Heritage,H,https://mediabiasfactcheck.com/american-heritage/,H,L,[],americanheritage.com,ameriheritage,65.0,AmeriHeritage,
LC,americanimmigrationcouncil.org,American Immigration Council,H,https://mediabiasfactcheck.com/american-immigration-council/,H,L,[],americanimmigrationcouncil.org,122037065517,63.0,immcouncil,
L,americanindependent.com,The American Independent Institute,MF,https://mediabiasfactcheck.com/american-independent-institute/,M,M,[],americanindependent.com,,62.0,,
CP,americanintelligencereport.com,American Intelligence Report,M,https://mediabiasfactcheck.com/american-intelligence-report/,L,N,[],americanintelligencereport.com,,31.0,,
R,americanjournaldaily.com,American Journal Daily,M,https://mediabiasfactcheck.com/american-journal-daily-bias/,M,M,[],americanjournaldaily.com,,,,
FN,americanjournalreview.com,American Journal Review,L,https://mediabiasfactcheck.com/american-journal-review/,L,L,[],americanjournalreview.com,,29.0,,
S,americanlampoon.com,American Lampoon,,https://mediabiasfactcheck.com/american-lampoon/,NA,N,[],americanlampoon.com,,,,
FN,americanlibertyemail.com,American Liberty Report,L,https://mediabiasfactcheck.com/american-liberty-report/,L,L,"['C', 'P', 'PS', 'LT', 'FC', 'M']",americanlibertyemail.com,,28.0,,
FN,americanlookout.com,American Lookout,L,https://mediabiasfactcheck.com/american-lookout/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'M']",americanlookout.com,,46.0,,
RC,americanmilitarynews.com,American Military News,MF,https://mediabiasfactcheck.com/american-military-news/,H,M,[],americanmilitarynews.com,AmericanMilitaryNews,60.0,AmerMilNews,
R,americanmind.org,The American Mind,M,https://mediabiasfactcheck.com/the-american-mind/,M,M,[],americanmind.org,,47.0,,
L,americanoversight.org,American Oversight,MF,https://mediabiasfactcheck.com/american-oversight/,M,L,[],americanoversight.org,,,,
FN,americanpartisan.org,American Partisan,L,https://mediabiasfactcheck.com/american-partisan-bias/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'PSE']",americanpartisan.org,,,,
FN,americanpatriotdaily.com,American Patriot Daily,L,https://mediabiasfactcheck.com/american-patriot-daily/,L,L,"['C', 'P', 'PS', 'LT', 'M']",americanpatriotdaily.com,AmericanPatriotDailyNews,36.0,,
FN,americanpeopledaily.com,American People Daily,L,https://mediabiasfactcheck.com/american-people-daily/,L,L,"['P', 'PS', 'LT', 'M']",americanpeopledaily.com,,22.0,,
FN,americanpeoplenetwork.com,American People Network,VL,https://mediabiasfactcheck.com/american-people-network/,L,N,[],americanpeoplenetwork.com,,4.0,,
CP,americanpolicy.org,American Policy Center,L,https://mediabiasfactcheck.com/american-policy-center/,L,L,[],americanpolicy.org,,,,
C,americanpressinstitute.org,American Press Institute (API),VH,https://mediabiasfactcheck.com/american-press-institute-api/,H,L,[],americanpressinstitute.org,AmericanPressInstitute,64.0,AmPress,
FN,americanprides.org,American Prides,L,https://mediabiasfactcheck.com/american-prides/,L,N,[],americanprides.org,,11.0,,
FN,americanprinciplesproject.org,American Principles Project,L,https://mediabiasfactcheck.com/american-principles-project/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M']",americanprinciplesproject.org,AmericanPrinciplesProject,51.0,,
L,americanprogress.org,Center for American Progress,M,https://mediabiasfactcheck.com/center-for-american-progress/,M,M,[],americanprogress.org,americanprogress,88.0,amprog,
LC,americanpublicmedia.org,American Public Media,H,https://mediabiasfactcheck.com/american-public-media/,H,L,[],americanpublicmedia.org,,45.0,,
LC,americanpurpose.com,American Purpose,H,https://mediabiasfactcheck.com/american-purpose/,H,M,[],americanpurpose.com,,,,
FN,americansarepissed.com,Americans Are Pissed,L,https://mediabiasfactcheck.com/americans-are-pissed/,L,N,"['P', 'PS', 'LT', 'M', 'PG']",americansarepissed.com,,1.0,,
PS,americanscientist.org,American Scientist,VH,https://mediabiasfactcheck.com/american-scientist/,H,L,[],americanscientist.org,AmericanScientist,72.0,AmSciMag,
R,americansforprosperity.org,Americans for Prosperity,M,https://mediabiasfactcheck.com/americans-for-prosperity/,M,L,[],americansforprosperity.org,fightback,75.0,afphq,
FN,americansfortruth.com,Americans for Truth,VL,https://mediabiasfactcheck.com/americans-for-truth-aftah/,L,L,"['P', 'LT', 'M', 'H']",americansfortruth.com,,63.0,,
FN,americanthinker.com,American Thinker,L,https://mediabiasfactcheck.com/american-thinker/,L,H,"['C', 'P', 'LT', 'FFC', 'FC', 'M']",americanthinker.com,American-Thinker,83.0,AmericanThinker,
FN,americantoday.news,American Today,L,https://mediabiasfactcheck.com/american-today/,L,N,[],americantoday.news,,23.0,,
FN,americantruthseekers.com,American Truth Seekers,L,https://mediabiasfactcheck.com/american-truth-seekers/,L,N,[],americantruthseekers.com,,16.0,,
FN,americantruthtoday.com,American Truth Today,L,https://mediabiasfactcheck.com/american-truth-today/,L,N,"['P', 'PS', 'LT', 'M']",americantruthtoday.com,,24.0,,
FN,americanupdater.com,American Updater,L,https://mediabiasfactcheck.com/american-updater/,L,N,[],americanupdater.com,,16.0,,
FN,americaoutloud.com,America Out Loud,L,https://mediabiasfactcheck.com/america-out-loud/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'H', 'PSE']",americaoutloud.com,,,,
R,americarisingpac.org,America Rising PAC,M,https://mediabiasfactcheck.com/america-rising-pac/,M,L,[],americarisingpac.org,,50.0,,
FN,americasfreedomfighters.com,Americas Freedom Fighters,L,https://mediabiasfactcheck.com/american-freedom-fighters/,L,M,"['C', 'P', 'PS', 'LT', 'FFC', 'M', 'FN']",americasfreedomfighters.com,,44.0,,
CP,americasfrontlinedoctors.org,America's Frontline Doctors,L,https://mediabiasfactcheck.com/americas-frontline-doctors/,L,M,[],americasfrontlinedoctors.org,,31.0,,
S,americaslastlineofdefense.com,America's Last Line of Defense,,https://mediabiasfactcheck.com/the-resistance-the-last-line-of-defense/,NA,L,[],americaslastlineofdefense.com,,39.0,,
FN,americasnewssource.com,America's News Source,VL,https://mediabiasfactcheck.com/americas-news-source/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'PG', 'FN']",americasnewssource.com,,13.0,,
RC,americasquarterly.org,Americas Quarterly,H,https://mediabiasfactcheck.com/americas-quarterly/,H,M,[],americasquarterly.org,americasquarterly,64.0,amerquarterly,
R,americasvoice.news,Real America's Voice,M,https://mediabiasfactcheck.com/real-americas-voice/,M,H,[],americasvoice.news,,,,
L,americasvoice.org,America's Voice,MF,https://mediabiasfactcheck.com/americas-voice/,H,L,[],americasvoice.org,,63.0,,
FN,americatalks.com,America Talks with David Zublick,VL,https://mediabiasfactcheck.com/america-talks-with-david-zublick-bias-credibility-rating/,L,N,[],americatalks.com,,40.0,,
FN,amestoday.com,Ames Today,M,https://mediabiasfactcheck.com/ames-today-bias/,L,L,"['LT', 'FC', 'IM']",amestoday.com,,,,
LC,amestrib.com,Ames Tribune,H,https://mediabiasfactcheck.com/ames-tribune-bias/,H,L,[],amestrib.com,,,,
CP,amg-news.com,American Media Group - AMG-News,VL,https://mediabiasfactcheck.com/amg-news/,L,M,[],amg-news.com,,,,
R,amgreatness.com,American Greatness,M,https://mediabiasfactcheck.com/american-greatness/,M,M,[],amgreatness.com,theamericangreatness,57.0,theamgreatness,
R,amimagazine.org,Ami Magazine,MF,https://mediabiasfactcheck.com/ami-magazine/,M,M,[],amimagazine.org,,36.0,,
FN,amityunderground.com,Amity Underground,M,https://mediabiasfactcheck.com/amity-underground/,L,N,[],amityunderground.com,,,,
R,ammoland.com,Ammoland,MF,https://mediabiasfactcheck.com/ammoland/,H,M,[],ammoland.com,,76.0,,
LC,amnesty.org,Amnesty International,H,https://mediabiasfactcheck.com/amnesty-international/,H,M,[],amnesty.org,amnestyglobal,92.0,amnesty,
LC,amny.com,AM New York,H,https://mediabiasfactcheck.com/am-new-york/,H,M,[],amny.com,amnewyork,82.0,AMNewYork,
S,amplifyingglass.com,Amplifying Glass,,https://mediabiasfactcheck.com/amplifying-glass/,NA,N,[],amplifyingglass.com,,28.0,,
FN,amren.com,American Renaissance Magazine,L,https://mediabiasfactcheck.com/american-renaissance-magazine/,L,M,"['P', 'M', 'H', 'PSE']",amren.com,,72.0,,
L,amsterdamnews.com,New York Amsterdam News,H,https://mediabiasfactcheck.com/new-york-amsterdam-news/,H,L,[],amsterdamnews.com,,64.0,,
CP,amtvmedia.com,Alternative Media Television (AMTV),L,https://mediabiasfactcheck.com/alternative-media-television-amtv/,L,L,[],amtvmedia.com,amtvmedia,45.0,amtvmedia,
FN,analyzingamerica.org,Analyzing America,M,https://mediabiasfactcheck.com/analyzing-america/,L,M,"['C', 'P', 'PS', 'FFC', 'FC', 'M']",analyzingamerica.org,,25.0,,
RC,anchoragepress.com,Anchorage Press,H,https://mediabiasfactcheck.com/anchorage-press-bias/,H,L,[],anchoragepress.com,,,,
CP,ancient-code.com,Ancient Code,M,https://mediabiasfactcheck.com/ancient-code/,L,L,[],ancient-code.com,TheAncientCode,68.0,theAncientCode,
CP,ancient-origins.net,Ancient Origins,M,https://mediabiasfactcheck.com/ancient-origins/,L,M,[],ancient-origins.net,ancientoriginsweb,71.0,ancientorigins,
RC,andalusiastarnews.com,Andalusia Star News,H,https://mediabiasfactcheck.com/andalusia-star-news-bias/,H,L,[],andalusiastarnews.com,,,,
CP,andersoninstitute.com,Anderson Institute,M,https://mediabiasfactcheck.com/anderson-institute/,L,L,[],andersoninstitute.com,,,,
FN,andersonreporter.com,Anderson Reporter,M,https://mediabiasfactcheck.com/anderson-reporter/,L,L,"['LT', 'FC', 'IM']",andersonreporter.com,,,,
FN,anews-24.com,anews-24 (American News),VL,https://mediabiasfactcheck.com/anews-24-com-american-news/,L,N,[],anews-24.com,,12.0,,
CP,anewspost.com,Anewspost.com,M,https://mediabiasfactcheck.com/anewspost-com/,L,L,[],anewspost.com,,,,
FN,angrypatriotmovement.com,The Angry Patriot,VL,https://mediabiasfactcheck.com/the-angry-patriot/,L,N,"['C', 'P', 'PS', 'FC', 'M']",angrypatriotmovement.com,,33.0,,
L,angrywhitemen.org,Angry White Men,M,https://mediabiasfactcheck.com/angry-white-men/,M,L,[],angrywhitemen.org,,38.0,,
RC,angusreid.org,Angus Reid Institute,H,https://mediabiasfactcheck.com/angus-reid-institute/,H,L,[],angusreid.org,,,,
CP,anh-usa.org,Alliance for Natural Health (ANH-USA),M,https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,L,L,[],anh-usa.org,,63.0,,
FN,annearundeltoday.com,Anne Arundel Today,M,https://mediabiasfactcheck.com/anne-arundel-today-bias/,L,L,"['LT', 'FC', 'IM']",annearundeltoday.com,,,,
LC,annistonstar.com,Anniston Star,H,https://mediabiasfactcheck.com/anniston-star/,H,M,[],annistonstar.com,annistonstar,67.0,AnnistonStar,
FN,anonews.co,Anonymous News,M,https://mediabiasfactcheck.com/anonymous/,L,N,[],anonews.co,anonews.co,46.0,,
CP,anonhq.com,We are Anonymous/AnonHQ,VL,https://mediabiasfactcheck.com/we-are-anonymous/,L,M,[],anonhq.com,,66.0,,
C,ansa.it,Agenzia Nazionale Stampa Associata (ANSA),H,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,H,H,[],ansa.it,,94.0,,
CP,answersingenesis.org,Answers in Genesis,L,https://mediabiasfactcheck.com/answers-in-genesis/,L,M,[],answersingenesis.org,AnswersInGenesis,88.0,AiG,
FN,antelopevalleytoday.com,Antelope Valley Today,M,https://mediabiasfactcheck.com/antelope-valley-today/,L,L,"['LT', 'FC', 'IM']",antelopevalleytoday.com,,4.0,,
LC,anthropocenemagazine.org,Anthropocene Magazine,H,https://mediabiasfactcheck.com/conservation-magazine/,H,L,[],anthropocenemagazine.org,AnthroMag,47.0,AnthropoceneMag,
L,antifascistnews.net,Anti-Fascist News,H,https://mediabiasfactcheck.com/anti-fascist-news/,H,L,[],antifascistnews.net,antifascistnews,37.0,antifa_news1,
L,antihate.ca,Canadian Anti-Hate Network,H,https://mediabiasfactcheck.com/canadian-anti-hate-network-bias/,H,L,[],antihate.ca,,,,
RC,antiwar.com,Anti-War,MF,https://mediabiasfactcheck.com/anti-war/,M,L,[],antiwar.com,,78.0,Antiwarcom,
L,anx.media,ANX News (American News X),M,https://mediabiasfactcheck.com/american-news-x/,M,N,[],anx.media,,34.0,,
CP,anyavien.com,Anya Vien,VL,https://mediabiasfactcheck.com/anya-vien/,L,L,[],anyavien.com,,,,
LC,aol.com,AOL,H,https://mediabiasfactcheck.com/aol/,H,H,[],aol.com,,97.0,,
PS,apa.org,American Psychological Association,VH,https://mediabiasfactcheck.com/american-psychological-association-apa/,H,H,[],apa.org,,93.0,,
LC,apmreports.org,APM Reports,H,https://mediabiasfactcheck.com/apm-reports/,H,L,[],apmreports.org,APMreports,56.0,,
C,apnews.com,Associated Press,H,https://mediabiasfactcheck.com/associated-press/,H,H,[],apnews.com,APNews,95.0,ap,
CP,apost.com,Apost.com,M,https://mediabiasfactcheck.com/apost-com/,L,M,[],apost.com,,42.0,,
LC,app.com,The Asbury Park Press,H,https://mediabiasfactcheck.com/the-asbury-park-press/,H,M,[],app.com,,,,
LC,apple.com/apple-news,Apple News,MF,https://mediabiasfactcheck.com/apple-news-bias/,H,H,[],apple.com/apple-news,,,,/apple-news
RC,appledaily.com,Apple Daily,MF,https://mediabiasfactcheck.com/apple-daily/,H,H,[],appledaily.com,,,,
PS,aps.org,American Physical Society (APS),VH,https://mediabiasfactcheck.com/american-physical-society-aps/,H,M,[],aps.org,apsphysics,88.0,APSphysics,
PS,apsa.org,American Psychoanalytic Association,VH,https://mediabiasfactcheck.com/american-psychoanalytic-association/,H,L,[],apsa.org,American.psychoanalysis,58.0,psychoanalysis_,
LC,aptnnews.ca,APTN National News,H,https://mediabiasfactcheck.com/aptn-news/,H,M,[],aptnnews.ca,,,,
FN,arabnews.com,Arab News,M,https://mediabiasfactcheck.com/arab-news/,L,H,"['P', 'PS', 'CEN']",arabnews.com,TheArabNews,68.0,Arab_News,
LC,aranews.net,Ara News,H,https://mediabiasfactcheck.com/ara-news/,H,N,[],aranews.net,,49.0,,
RC,arcamax.com,ArcaMax,MF,https://mediabiasfactcheck.com/arcamax/,H,H,[],arcamax.com,,51.0,,
C,arcdigital.media,Arc Digital,H,https://mediabiasfactcheck.com/arc-digital/,H,L,[],arcdigital.media,,44.0,,
FN,archaeology-world.com,Archaeology World,M,https://mediabiasfactcheck.com/archaeology-world/,L,L,"['PS', 'LT']",archaeology-world.com,,30.0,,
PS,archaeology.org,Archaeology Magazine,H,https://mediabiasfactcheck.com/archaeology-magazine/,H,M,[],archaeology.org,archaeologymag,60.0,archaeologymag,
LC,areomagazine.com,Areo Magazine,H,https://mediabiasfactcheck.com/areo-magazine/,H,M,[],areomagazine.com,,,,
RC,argusleader.com,Argus Leader,H,https://mediabiasfactcheck.com/argus-leader/,H,M,[],argusleader.com,,,,
C,arirang.com,Arirang,H,https://mediabiasfactcheck.com/arirang/,H,H,[],arirang.com,,,,
R,arizonadailyindependent.com,Arizona Daily Independent,M,https://mediabiasfactcheck.com/arizona-daily-independent/,M,L,[],arizonadailyindependent.com,,51.0,,
RC,arkansasonline.com,Arkansas Democrat-Gazette,H,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,H,M,[],arkansasonline.com,,79.0,,
C,arklatexhomepage.com,KTAL - Shreveport News,H,https://mediabiasfactcheck.com/ktal-shreveport-news-bias/,H,L,[],arklatexhomepage.com,,,,
LC,arktimes.com,Arkansas Times,H,https://mediabiasfactcheck.com/arkansas-times/,H,M,[],arktimes.com,arkansastimes,68.0,arktimes,
LC,armscontrol.org,Arms Control Association,H,https://mediabiasfactcheck.com/arms-control-association/,H,L,[],armscontrol.org,,75.0,,
R,armstrongeconomics.com,Armstrong Economics,M,https://mediabiasfactcheck.com/armstrong-economics/,M,M,[],armstrongeconomics.com,martin.armstrong.167,78.0,strongeconomics,
C,armytimes.com,Army Times,H,https://mediabiasfactcheck.com/army-times/,H,M,[],armytimes.com,,,,
FN,aroostooknews.com,Aroostook News,M,https://mediabiasfactcheck.com/aroostook-news-bias/,H,L,[],aroostooknews.com,,,,
C,arstechnica.com,Ars Technica,H,https://mediabiasfactcheck.com/ars-technica/,H,H,[],arstechnica.com,arstechnica,94.0,arstechnica,
LC,arte.tv,ARTE,MF,https://mediabiasfactcheck.com/arte/,H,H,[],arte.tv,,76.0,,
S,asamericanasapplepie.org,As American as Apple Pie,,https://mediabiasfactcheck.com/american-apple-pie/,NA,N,[],asamericanasapplepie.org,,15.0,,
CP,asheepnomore.net,A Sheep No More,L,https://mediabiasfactcheck.com/a-sheep-no-more/,L,N,[],asheepnomore.net,ASheepNoMore,39.0,,
